topic,regression_label_binary,standard,structure,concept,conclusion_standard,conclusion_structure,conclusion_concept,summary_standard,summary_structure,summary_concept,sentence_1_len,sentence_2_len,combined_len,bin
Fracking,1,0.287,0.217,0.6,0.81,0.556,1.571,0.204,0.167,0.444,155,189,344,300-400
Fracking,1,0.31,0.218,0.586,0.192,0.195,0.269,0.258,0.215,0.419,110,117,227,200-250
Fracking,0,0.243,0.216,0.405,0.244,0.225,0.293,0.107,0.107,0.107,120,155,275,250-300
Fracking,1,0.197,0.188,0.366,0.205,0.236,0.308,0.265,0.196,0.441,118,189,307,300-400
Fracking,0,0.172,0.172,0.241,0.214,0.228,0.357,0.1,0.1,0.1,120,123,243,200-250
Fracking,1,0.708,0.458,1.458,0.114,0.076,0.229,0.56,0.347,1.2,151,189,340,300-400
Fracking,1,0.376,0.322,0.682,0.115,0.143,0.115,0.189,0.176,0.415,171,165,336,300-400
Fracking,1,0.232,0.164,0.348,0.115,0.137,0.231,0.115,0.115,0.115,153,156,309,300-400
Fracking,1,0.276,0.264,0.586,0.125,0.188,0.167,0.333,0.278,0.583,70,117,187,100-200
Fracking,1,0.279,0.225,0.442,0.157,0.173,0.118,0.295,0.208,0.492,137,200,337,300-400
Fracking,0,0.216,0.153,0.365,0.098,0.225,0.098,0.25,0.238,0.393,120,187,307,300-400
Fracking,1,0.274,0.228,0.329,0.17,0.193,0.213,0.333,0.309,0.407,151,167,318,300-400
Fracking,1,0.225,0.2,0.45,0.2,0.194,0.28,0.357,0.286,0.607,77,163,240,200-250
Fracking,0,0.113,0.113,0.038,0.087,0.149,0.13,0.154,0.154,0.103,80,147,227,200-250
Fracking,1,0.278,0.211,0.532,0.133,0.146,0.067,0.217,0.159,0.478,153,189,342,300-400
Fracking,1,0.353,0.255,0.676,0.089,0.089,0.044,0.32,0.213,0.64,189,139,328,300-400
Fracking,1,0.281,0.187,0.667,0.256,0.245,0.359,0.333,0.222,0.667,120,118,238,200-250
Fracking,0,0.185,0.16,0.333,0.043,0.089,0.043,0.171,0.171,0.171,110,102,212,200-250
Fracking,1,0.326,0.233,0.698,0.12,0.147,0.2,0.333,0.259,0.556,70,119,189,100-200
Fracking,1,0.43,0.278,0.886,0.091,0.183,0.136,0.207,0.161,0.345,121,177,298,250-300
Fracking,1,0.267,0.211,0.433,0.182,0.19,0.291,0.167,0.13,0.389,119,167,286,250-300
Fracking,0,0.083,0.037,0.139,0.273,0.257,0.364,0.107,0.083,0.179,155,158,313,300-400
Fracking,1,0.195,0.146,0.366,0.28,0.272,0.36,0.204,0.136,0.327,151,163,314,300-400
Fracking,0,0.198,0.198,0.374,0.227,0.227,0.227,0.281,0.211,0.491,200,189,389,300-400
Fracking,0,0.274,0.21,0.466,0.286,0.269,0.4,0.203,0.135,0.348,118,155,273,250-300
Fracking,1,0.305,0.192,0.644,0.133,0.146,0.133,0.256,0.171,0.462,100,153,253,250-300
Fracking,1,0.316,0.316,0.737,0.245,0.208,0.408,0.17,0.184,0.426,70,127,197,100-200
Fracking,1,0.353,0.255,0.676,0.186,0.224,0.326,0.462,0.333,0.885,136,153,289,250-300
Fracking,1,0.269,0.295,0.538,0.111,0.117,0.185,0.275,0.196,0.51,70,139,209,200-250
Fracking,1,0.424,0.323,0.788,0.098,0.098,0.098,0.407,0.284,0.778,110,189,299,250-300
Fracking,0,0.276,0.207,0.517,0.094,0.16,0.062,0.32,0.213,0.64,109,151,260,250-300
Fracking,1,0.281,0.246,0.632,0.279,0.246,0.465,0.4,0.287,0.738,110,118,228,200-250
Fracking,1,0.184,0.123,0.263,0.205,0.217,0.154,0.24,0.187,0.4,167,174,341,300-400
Fracking,0,0.275,0.222,0.431,0.125,0.195,0.167,0.167,0.139,0.25,70,105,175,100-200
Fracking,0,0.281,0.198,0.375,0.146,0.186,0.146,0.28,0.293,0.36,105,153,258,250-300
Fracking,0,0.148,0.222,0.185,0.216,0.167,0.432,0.151,0.151,0.151,100,81,181,100-200
Fracking,1,0.286,0.202,0.571,0.107,0.172,0.107,0.233,0.202,0.419,151,139,290,250-300
Fracking,1,0.441,0.324,0.853,0.254,0.207,0.444,0.44,0.333,0.76,127,158,285,250-300
Fracking,1,0.357,0.286,0.75,0.083,0.132,0.083,0.264,0.189,0.566,77,109,186,100-200
Fracking,1,0.253,0.194,0.38,0.12,0.188,0.16,0.161,0.172,0.226,135,187,322,300-400
Fracking,1,0.262,0.197,0.459,0.269,0.264,0.346,0.196,0.144,0.353,136,158,294,250-300
Fracking,0,0.16,0.142,0.213,0.077,0.149,0.154,0.2,0.178,0.267,145,151,296,250-300
Fracking,1,0.354,0.236,0.709,0.229,0.206,0.4,0.2,0.147,0.36,153,155,308,300-400
Fracking,1,0.323,0.269,0.548,0.211,0.21,0.368,0.296,0.21,0.593,118,147,265,250-300
Fracking,1,0.173,0.165,0.42,0.178,0.214,0.178,0.163,0.177,0.286,142,200,342,300-400
Fracking,1,0.087,0.087,0.087,0.15,0.141,0.25,0.15,0.117,0.2,119,126,245,200-250
Fracking,1,0.333,0.256,0.6,0.14,0.165,0.233,0.275,0.209,0.353,77,117,194,100-200
Fracking,0,0.19,0.19,0.413,0.172,0.166,0.138,0.25,0.194,0.417,137,142,279,250-300
Fracking,1,0.276,0.207,0.586,0.195,0.251,0.341,0.227,0.167,0.5,110,118,228,200-250
Fracking,0,0.091,0.101,0.212,0.118,0.15,0.118,0.145,0.121,0.364,114,153,267,250-300
Fracking,1,0.205,0.171,0.564,0.577,0.431,1.038,0.281,0.271,0.594,110,163,273,250-300
Fracking,1,0.235,0.196,0.51,0.146,0.146,0.146,0.298,0.213,0.553,100,136,236,200-250
Fracking,1,0.316,0.246,0.596,0.122,0.152,0.122,0.262,0.208,0.426,110,108,218,200-250
Fracking,1,0.333,0.253,0.667,0.467,0.343,0.867,0.333,0.289,0.6,110,155,265,250-300
Fracking,0,0.2,0.178,0.267,0.182,0.216,0.291,0.14,0.14,0.186,105,129,234,200-250
Fracking,1,0.317,0.201,0.698,0.208,0.287,0.25,0.327,0.204,0.612,120,157,277,250-300
Fracking,1,0.152,0.101,0.273,0.14,0.127,0.233,0.327,0.231,0.531,127,174,301,300-400
Fracking,1,0.237,0.147,0.441,0.157,0.217,0.196,0.227,0.167,0.409,136,142,278,250-300
Fracking,1,0.326,0.271,0.605,0.667,0.462,1.294,0.189,0.164,0.34,146,167,313,300-400
Fracking,1,0.298,0.248,0.702,0.773,0.53,1.5,0.429,0.333,0.75,155,163,318,300-400
Fracking,1,0.308,0.246,0.492,0.109,0.144,0.073,0.286,0.202,0.589,121,142,263,250-300
Fracking,0,0.154,0.154,0.154,0.103,0.188,0.103,0.188,0.125,0.125,70,107,177,100-200
Fracking,1,0.256,0.197,0.359,0.043,0.043,0.043,0.383,0.269,0.723,121,189,310,300-400
Fracking,1,0.244,0.171,0.561,0.186,0.218,0.372,0.25,0.179,0.464,171,157,328,300-400
Fracking,1,0.225,0.15,0.451,0.432,0.34,0.757,0.178,0.148,0.311,92,200,292,250-300
Fracking,0,0.25,0.262,0.393,0.143,0.107,0.095,0.192,0.167,0.308,77,142,219,200-250
Fracking,1,0.152,0.162,0.273,0.25,0.228,0.281,0.226,0.201,0.302,136,158,294,250-300
Fracking,1,0.197,0.141,0.479,0.217,0.231,0.217,0.351,0.281,0.632,147,187,334,300-400
Fracking,0,0.17,0.184,0.298,0.722,0.514,1.389,0.111,0.111,0.222,92,153,245,200-250
Fracking,1,0.143,0.152,0.257,0.133,0.17,0.311,0.208,0.222,0.375,121,174,295,250-300
Fracking,1,0.242,0.141,0.545,0.219,0.14,0.188,0.148,0.136,0.407,120,155,275,250-300
Fracking,0,0.162,0.144,0.216,0.067,0.086,0.067,0.042,0.083,0.042,153,158,311,300-400
Fracking,1,0.366,0.235,0.761,0.739,0.507,1.435,0.308,0.218,0.538,136,155,291,250-300
Fracking,0,0.115,0.115,0.115,0.038,0.145,0.115,0.044,0.133,0.133,94,158,252,250-300
Fracking,1,0.316,0.246,0.605,0.109,0.181,0.109,0.192,0.141,0.423,146,127,273,250-300
Fracking,1,0.222,0.148,0.519,0.208,0.247,0.292,0.261,0.145,0.609,120,151,271,250-300
Fracking,1,0.211,0.222,0.421,0.213,0.213,0.298,0.208,0.181,0.458,77,147,224,200-250
Fracking,1,0.239,0.199,0.388,0.13,0.153,0.174,0.275,0.196,0.51,109,153,262,250-300
Fracking,1,0.254,0.188,0.338,0.145,0.178,0.145,0.25,0.238,0.393,136,165,301,300-400
Fracking,0,0.133,0.144,0.167,0.185,0.16,0.222,0.085,0.17,0.17,94,189,283,250-300
Fracking,0,0.203,0.158,0.392,0.111,0.121,0.111,0.196,0.183,0.431,120,189,309,300-400
Fracking,1,0.175,0.152,0.351,0.098,0.193,0.131,0.357,0.321,0.607,136,139,275,250-300
Fracking,1,0.269,0.192,0.577,0.204,0.194,0.286,0.13,0.101,0.217,109,153,262,250-300
Fracking,1,0.293,0.236,0.512,0.095,0.095,0.048,0.44,0.307,0.84,189,165,354,300-400
Fracking,0,0.219,0.198,0.281,0.314,0.313,0.549,0.391,0.261,0.652,154,179,333,300-400
Fracking,1,0.289,0.217,0.53,0.196,0.239,0.196,0.179,0.155,0.25,135,146,281,250-300
Fracking,1,0.27,0.189,0.432,0.14,0.166,0.14,0.264,0.214,0.415,117,156,273,250-300
Fracking,1,0.145,0.106,0.319,0.069,0.131,0.138,0.169,0.124,0.339,126,155,281,250-300
Fracking,1,0.197,0.153,0.295,0.133,0.114,0.267,0.321,0.286,0.536,139,174,313,300-400
Fracking,0,0.328,0.249,0.567,0.2,0.247,0.2,0.333,0.238,0.619,142,153,295,250-300
Fracking,1,0.24,0.187,0.4,0.174,0.244,0.261,0.235,0.157,0.471,119,118,237,200-250
Fracking,1,0.219,0.156,0.469,0.128,0.153,0.128,0.217,0.145,0.326,120,168,288,250-300
Fracking,1,0.305,0.215,0.576,0.213,0.208,0.298,0.271,0.226,0.407,118,139,257,250-300
Fracking,0,0.138,0.138,0.069,0.213,0.225,0.17,0.062,0.062,0.062,59,86,145,100-200
Fracking,1,0.348,0.246,0.783,0.378,0.234,0.811,0.364,0.258,0.773,100,120,220,200-250
Gene editing,0,0.237,0.215,0.305,0.235,0.198,0.353,0.196,0.17,0.275,81,166,247,200-250
Gene editing,0,0.116,0.109,0.233,0.264,0.203,0.566,0.174,0.126,0.203,150,167,317,300-400
Gene editing,0,0.148,0.132,0.198,0.114,0.143,0.114,0.176,0.127,0.235,138,152,290,250-300
Gene editing,0,0.23,0.273,0.361,0.108,0.226,0.216,0.308,0.267,0.431,117,139,256,250-300
Gene editing,1,0.275,0.2,0.425,0.143,0.169,0.143,0.209,0.129,0.239,149,166,315,300-400
Gene editing,0,0.231,0.171,0.41,0.208,0.225,0.208,0.231,0.141,0.538,138,157,295,250-300
Gene editing,0,0.237,0.263,0.447,0.167,0.203,0.125,0.203,0.181,0.237,118,167,285,250-300
Gene editing,0,0.1,0.1,0.1,0.227,0.203,0.409,0.089,0.133,0.133,93,176,269,250-300
Gene editing,0,0.222,0.173,0.444,0.107,0.178,0.107,0.245,0.19,0.49,44,166,210,200-250
Gene editing,1,0.194,0.172,0.258,0.182,0.271,0.364,0.31,0.23,0.517,87,168,255,250-300
Gene editing,0,0.216,0.162,0.405,0.882,0.613,1.706,0.189,0.126,0.226,135,165,300,250-300
Gene editing,0,0.174,0.174,0.261,0.1,0.174,0.1,0.2,0.16,0.32,87,91,178,100-200
Gene editing,0,0.213,0.151,0.347,0.233,0.205,0.467,0.16,0.147,0.44,135,157,292,250-300
Gene editing,0,0.182,0.158,0.364,0.045,0.115,0.091,0.255,0.199,0.426,91,166,257,250-300
Gene editing,0,0.099,0.082,0.173,0.164,0.183,0.131,0.097,0.097,0.129,172,167,339,300-400
Gene editing,0,0.143,0.179,0.143,0.143,0.165,0.143,0.12,0.08,0.12,125,130,255,250-300
Gene editing,0,0.257,0.19,0.457,0.095,0.154,0.095,0.318,0.167,0.5,118,145,263,250-300
Gene editing,0,0.219,0.167,0.406,0.125,0.193,0.125,0.231,0.141,0.538,111,131,242,200-250
Gene editing,0,0.156,0.167,0.219,0.227,0.224,0.409,0.125,0.125,0.125,81,150,231,200-250
Gene editing,1,0.246,0.185,0.462,0.105,0.125,0.105,0.133,0.089,0.133,117,165,282,250-300
Gene editing,0,0.145,0.155,0.261,0.162,0.22,0.162,0.107,0.107,0.143,141,150,291,250-300
Gene editing,1,0.4,0.305,0.686,0.111,0.149,0.074,0.205,0.154,0.256,114,166,280,250-300
Gene editing,1,0.131,0.142,0.23,0.093,0.113,0.186,0.204,0.177,0.367,141,123,264,250-300
Gene editing,0,0.22,0.236,0.439,0.2,0.235,0.36,0.308,0.256,0.41,145,157,302,300-400
Gene editing,0,0.205,0.179,0.256,0.172,0.181,0.241,0.19,0.169,0.222,145,172,317,300-400
Gene editing,0,0.133,0.169,0.24,0.119,0.153,0.119,0.232,0.242,0.261,114,145,259,250-300
Gene editing,0,0.286,0.219,0.4,0.148,0.129,0.148,0.394,0.3,0.648,114,174,288,250-300
Gene editing,0,0.131,0.164,0.131,0.113,0.178,0.113,0.1,0.1,0.1,129,142,271,250-300
Gene editing,0,0.187,0.125,0.219,0.138,0.171,0.241,0.141,0.169,0.113,87,165,252,250-300
Gene editing,1,0.159,0.144,0.295,0.13,0.25,0.174,0.209,0.171,0.372,196,157,353,300-400
Gene editing,0,0.217,0.201,0.434,0.213,0.217,0.426,0.163,0.095,0.245,150,145,295,250-300
Gene editing,0,0.169,0.158,0.373,0.261,0.284,0.217,0.133,0.148,0.267,131,126,257,250-300
Gene editing,0,0.206,0.167,0.353,0.118,0.177,0.118,0.194,0.172,0.258,111,127,238,200-250
Gene editing,0,0.171,0.2,0.257,0.182,0.172,0.327,0.207,0.172,0.276,114,172,286,250-300
Gene editing,0,0.19,0.143,0.19,0.186,0.28,0.372,0.189,0.164,0.264,73,85,158,100-200
Gene editing,0,0.202,0.142,0.27,0.245,0.217,0.408,0.095,0.127,0.063,196,150,346,300-400
Gene editing,0,0.276,0.195,0.552,0.077,0.162,0.115,0.292,0.236,0.625,44,138,182,100-200
Gene editing,0,0.222,0.176,0.25,0.218,0.217,0.4,0.31,0.225,0.479,87,167,254,250-300
Gene editing,0,0.338,0.26,0.519,0.133,0.155,0.1,0.269,0.209,0.507,138,165,303,300-400
Gene editing,0,0.265,0.167,0.353,0.085,0.061,0.043,0.301,0.237,0.521,105,165,270,250-300
Gene editing,0,0.245,0.19,0.408,0.12,0.156,0.12,0.043,0.043,0.043,66,127,193,100-200
Gene editing,0,0.161,0.129,0.129,0.107,0.169,0.036,0.167,0.144,0.2,114,137,251,250-300
Gene editing,0,0.182,0.158,0.255,0.14,0.17,0.211,0.25,0.187,0.438,66,111,177,100-200
Gene editing,0,0.228,0.177,0.405,0.204,0.229,0.204,0.293,0.244,0.463,105,196,301,300-400
Gene editing,0,0.169,0.169,0.217,0.148,0.16,0.111,0.225,0.169,0.394,165,155,320,300-400
Gene editing,0,0.258,0.172,0.355,0.08,0.185,0.08,0.276,0.23,0.414,117,166,283,250-300
Gene editing,0,0.14,0.14,0.186,0.206,0.243,0.206,0.14,0.14,0.14,88,103,191,100-200
Gene editing,1,0.25,0.175,0.425,0.089,0.163,0.089,0.13,0.156,0.312,165,152,317,300-400
Gene editing,0,0.152,0.131,0.212,0.214,0.236,0.286,0.185,0.16,0.259,85,166,251,250-300
Gene editing,1,0.226,0.204,0.419,0.19,0.132,0.286,0.275,0.222,0.51,118,166,284,250-300
Gene editing,1,0.121,0.152,0.212,0.182,0.21,0.182,0.188,0.135,0.25,87,150,237,200-250
Gene editing,0,0.225,0.235,0.282,0.114,0.146,0.114,0.148,0.148,0.148,131,166,297,250-300
Gene editing,0,0.338,0.225,0.519,0.095,0.164,0.143,0.349,0.243,0.667,138,178,316,300-400
Gene editing,0,0.273,0.182,0.523,0.089,0.158,0.089,0.29,0.232,0.464,168,162,330,300-400
Gene editing,1,0.222,0.189,0.42,0.286,0.239,0.444,0.19,0.159,0.413,165,145,310,300-400
Gene editing,0,0.12,0.12,0.12,0.1,0.178,0.05,0.133,0.133,0.133,66,126,192,100-200
Gene editing,0,0.207,0.184,0.241,0.143,0.132,0.27,0.136,0.106,0.227,105,122,227,200-250
Gene editing,0,0.269,0.209,0.328,0.17,0.176,0.298,0.231,0.179,0.385,123,166,289,250-300
Gene editing,0,0.154,0.164,0.215,0.2,0.199,0.28,0.194,0.176,0.25,87,157,244,200-250
Gene editing,0,0.163,0.136,0.245,0.167,0.156,0.25,0.157,0.092,0.235,44,137,181,100-200
Gene editing,0,0.179,0.179,0.205,0.128,0.175,0.128,0.127,0.222,0.159,145,166,311,300-400
Gene editing,0,0.222,0.185,0.289,0.133,0.153,0.1,0.2,0.167,0.325,165,162,327,300-400
Gene editing,0,0.179,0.167,0.357,0.103,0.137,0.051,0.255,0.128,0.383,91,135,226,200-250
Gene editing,0,0.243,0.18,0.324,0.291,0.21,0.509,0.156,0.135,0.187,138,172,310,300-400
Gene editing,0,0.107,0.107,0.107,0.1,0.123,0.1,0.128,0.128,0.128,88,146,234,200-250
Gene editing,0,0.204,0.19,0.449,0.186,0.202,0.419,0.148,0.136,0.407,44,105,149,100-200
Gene editing,1,0.419,0.301,0.677,0.723,0.525,1.319,0.246,0.234,0.491,117,114,231,200-250
Gene editing,0,0.179,0.179,0.299,0.299,0.323,0.448,0.207,0.184,0.31,114,166,280,250-300
Gene editing,0,0.24,0.187,0.373,0.204,0.216,0.286,0.182,0.182,0.136,150,166,316,300-400
Gene editing,0,0.2,0.17,0.378,0.113,0.134,0.113,0.189,0.135,0.378,151,145,296,250-300
Gene editing,0,0.254,0.254,0.563,0.431,0.373,0.667,0.286,0.204,0.531,135,166,301,300-400
Gene editing,0,0.184,0.176,0.368,0.185,0.193,0.259,0.247,0.21,0.411,165,196,361,300-400
Gene editing,0,0.247,0.183,0.301,0.185,0.172,0.259,0.281,0.222,0.421,117,167,284,250-300
Gene editing,0,0.164,0.174,0.247,0.241,0.244,0.276,0.147,0.147,0.147,105,145,250,200-250
Gene editing,0,0.267,0.213,0.427,0.255,0.246,0.255,0.222,0.201,0.413,123,145,268,250-300
Gene editing,0,0.247,0.165,0.37,0.19,0.192,0.254,0.295,0.23,0.557,111,166,277,250-300
Gene editing,0,0.136,0.136,0.182,0.154,0.174,0.103,0.146,0.146,0.146,66,120,186,100-200
Gene editing,0,0.139,0.167,0.167,0.129,0.198,0.194,0.169,0.136,0.136,114,150,264,250-300
Gene editing,0,0.246,0.226,0.308,0.133,0.168,0.133,0.311,0.237,0.444,118,166,284,250-300
Gene editing,0,0.103,0.128,0.128,0.133,0.199,0.133,0.062,0.062,0.094,168,152,320,300-400
Gene editing,0,0.188,0.149,0.353,0.226,0.241,0.415,0.274,0.237,0.438,151,165,316,300-400
Gene editing,0,0.263,0.237,0.474,0.29,0.338,0.387,0.329,0.278,0.582,105,167,272,250-300
Gene editing,0,0.292,0.236,0.438,0.227,0.21,0.318,0.366,0.285,0.61,151,196,347,300-400
Gene editing,0,0.121,0.152,0.182,0.306,0.264,0.444,0.232,0.213,0.319,122,165,287,250-300
Gene editing,1,0.194,0.097,0.258,0.167,0.208,0.167,0.273,0.212,0.455,118,123,241,200-250
Gene editing,0,0.127,0.127,0.127,0.133,0.162,0.133,0.077,0.115,0.115,123,153,276,250-300
Gene editing,0,0.174,0.188,0.391,0.255,0.246,0.255,0.209,0.256,0.419,196,145,341,300-400
Gene editing,0,0.118,0.118,0.196,0.08,0.114,0.08,0.195,0.163,0.39,44,123,167,100-200
Gene editing,0,0.171,0.143,0.343,0.222,0.156,0.296,0.187,0.146,0.281,123,165,288,250-300
Gene editing,1,0.247,0.183,0.521,0.25,0.23,0.469,0.366,0.272,0.704,165,174,339,300-400
Gene editing,0,0.103,0.138,0.138,0.097,0.159,0.097,0.23,0.208,0.295,87,114,201,200-250
Gene editing,0,0.185,0.148,0.148,0.095,0.107,0.095,0.087,0.174,0.174,91,123,214,200-250
Gene editing,0,0.169,0.169,0.254,0.264,0.239,0.377,0.157,0.157,0.235,135,172,307,300-400
Gene editing,0,0.213,0.151,0.347,0.122,0.163,0.082,0.271,0.26,0.508,126,171,297,250-300
Gene editing,0,0.171,0.152,0.286,0.207,0.257,0.31,0.154,0.154,0.154,166,172,338,300-400
Gene editing,0,0.163,0.095,0.245,0.167,0.201,0.292,0.2,0.217,0.35,44,118,162,100-200
Gene editing,0,0.116,0.087,0.087,0.227,0.166,0.273,0.133,0.133,0.167,118,157,275,250-300
Gene editing,0,0.156,0.125,0.375,0.136,0.142,0.091,0.151,0.126,0.377,141,166,307,300-400
Gene editing,0,0.2,0.2,0.257,0.211,0.18,0.316,0.267,0.189,0.367,135,139,274,250-300
Gene editing,0,0.2,0.167,0.325,0.128,0.137,0.128,0.145,0.158,0.327,155,166,321,300-400
Gene editing,1,0.179,0.139,0.269,0.19,0.228,0.286,0.118,0.118,0.118,117,150,267,250-300
Gene editing,0,0.273,0.212,0.477,0.091,0.159,0.091,0.316,0.228,0.5,138,196,334,300-400
Gene editing,0,0.143,0.179,0.143,0.145,0.207,0.182,0.067,0.067,0.067,130,155,285,250-300
Gene editing,1,0.271,0.147,0.542,0.303,0.306,0.424,0.36,0.307,0.68,118,141,259,250-300
Gene editing,0,0.169,0.225,0.265,0.293,0.253,0.488,0.29,0.226,0.484,135,151,286,250-300
Gene editing,1,0.219,0.192,0.411,0.208,0.203,0.292,0.061,0.061,0.061,108,171,279,250-300
Gene editing,0,0.2,0.162,0.286,0.351,0.319,0.486,0.206,0.137,0.294,114,165,279,250-300
Gene editing,1,0.416,0.346,0.675,0.237,0.257,0.305,0.384,0.31,0.685,85,167,252,250-300
Gene editing,1,0.173,0.156,0.247,0.267,0.253,0.4,0.215,0.174,0.308,166,167,333,300-400
Gene editing,0,0.213,0.142,0.298,0.182,0.187,0.291,0.162,0.162,0.27,91,112,203,200-250
Gene editing,1,0.246,0.185,0.431,0.328,0.291,0.507,0.246,0.175,0.456,118,165,283,250-300
Gene editing,0,0.222,0.138,0.286,0.176,0.203,0.176,0.31,0.264,0.517,127,126,253,250-300
Gene editing,1,0.364,0.26,0.675,0.053,0.183,0.158,0.214,0.19,0.357,118,151,269,250-300
Gene editing,1,0.282,0.231,0.487,0.214,0.184,0.321,0.143,0.111,0.286,165,150,315,300-400
Gene editing,0,0.259,0.165,0.4,0.238,0.234,0.333,0.297,0.216,0.486,135,196,331,300-400
Gene editing,1,0.185,0.173,0.37,0.075,0.144,0.113,0.122,0.122,0.122,118,117,235,200-250
Gene editing,0,0.185,0.198,0.259,0.044,0.157,0.089,0.15,0.1,0.15,85,119,204,200-250
Gene editing,1,0.129,0.124,0.243,0.105,0.144,0.105,0.27,0.189,0.405,118,150,268,250-300
Gene editing,1,0.29,0.183,0.484,0.067,0.133,0.067,0.444,0.37,0.722,118,114,232,200-250
Genetic diagnosis,0,0.129,0.129,0.194,0.143,0.175,0.143,0.105,0.053,0.053,135,174,309,300-400
Genetic diagnosis,0,0.219,0.188,0.281,0.174,0.188,0.261,0.109,0.182,0.218,135,156,291,250-300
Genetic diagnosis,1,0.071,0.107,0.071,0.222,0.196,0.286,0.235,0.235,0.235,123,146,269,250-300
Genetic diagnosis,0,0.131,0.197,0.197,0.133,0.211,0.267,0.122,0.082,0.204,126,108,234,200-250
Genetic diagnosis,0,0.269,0.218,0.423,0.133,0.17,0.222,0.286,0.245,0.449,114,135,249,200-250
Genetic diagnosis,0,0.115,0.154,0.192,0.118,0.135,0.235,0.129,0.086,0.258,84,174,258,250-300
Genetic diagnosis,1,0.211,0.211,0.263,0.182,0.195,0.182,0.353,0.301,0.588,145,185,330,300-400
Genetic diagnosis,0,0.156,0.156,0.125,0.089,0.171,0.178,0.148,0.111,0.148,135,144,279,250-300
Genetic diagnosis,1,0.292,0.225,0.472,0.258,0.269,0.419,0.143,0.111,0.238,185,151,336,300-400
Genetic diagnosis,0,0.167,0.148,0.278,0.211,0.217,0.351,0.192,0.128,0.269,137,185,322,300-400
Genetic diagnosis,1,0.182,0.136,0.227,0.378,0.271,0.595,0.157,0.131,0.314,103,135,238,200-250
Genetic diagnosis,0,0.087,0.116,0.116,0.12,0.196,0.16,0.059,0.059,0.118,173,174,347,300-400
Genetic diagnosis,1,0.133,0.178,0.133,0.157,0.214,0.157,0.125,0.188,0.125,84,121,205,200-250
Genetic diagnosis,0,0.229,0.152,0.457,0.151,0.24,0.264,0.308,0.231,0.538,152,125,277,250-300
Genetic diagnosis,0,0.241,0.195,0.379,0.175,0.273,0.246,0.19,0.159,0.333,84,156,240,200-250
Genetic diagnosis,0,0.328,0.219,0.656,0.255,0.215,0.545,0.308,0.231,0.654,97,152,249,200-250
Genetic diagnosis,0,0.209,0.159,0.358,0.103,0.18,0.154,0.233,0.202,0.326,145,165,310,300-400
Genetic diagnosis,0,0.048,0.071,0.095,0.16,0.223,0.2,0.167,0.167,0.167,96,172,268,250-300
Genetic diagnosis,0,0.0,0.0,0.0,0.122,0.151,0.082,0.0,0.08,0.08,68,79,147,100-200
Genetic diagnosis,1,0.308,0.236,0.462,0.222,0.227,0.311,0.267,0.244,0.467,145,139,284,250-300
Genetic diagnosis,0,0.175,0.14,0.175,0.267,0.269,0.356,0.15,0.167,0.3,121,146,267,250-300
Genetic diagnosis,0,0.129,0.172,0.226,0.154,0.171,0.077,0.133,0.133,0.133,127,196,323,300-400
Genetic diagnosis,0,0.149,0.119,0.119,0.25,0.241,0.292,0.054,0.054,0.054,167,174,341,300-400
Genetic diagnosis,1,0.237,0.193,0.579,0.312,0.228,0.375,0.261,0.251,0.638,139,164,303,300-400
Genetic diagnosis,1,0.291,0.218,0.582,0.174,0.18,0.304,0.226,0.183,0.419,114,139,253,250-300
Genetic diagnosis,0,0.143,0.129,0.204,0.122,0.159,0.122,0.186,0.155,0.279,152,172,324,300-400
Genetic diagnosis,0,0.235,0.216,0.529,0.13,0.174,0.13,0.227,0.167,0.409,84,103,187,100-200
Genetic diagnosis,0,0.171,0.133,0.286,0.16,0.145,0.2,0.186,0.155,0.279,174,156,330,300-400
Genetic diagnosis,0,0.169,0.207,0.225,0.085,0.127,0.085,0.098,0.146,0.146,132,143,275,250-300
Genetic diagnosis,0,0.143,0.095,0.257,0.114,0.134,0.114,0.323,0.237,0.581,196,174,370,300-400
Genetic diagnosis,0,0.294,0.216,0.324,0.162,0.18,0.162,0.178,0.178,0.133,167,173,340,300-400
Genetic diagnosis,1,0.29,0.237,0.387,0.14,0.234,0.186,0.292,0.264,0.375,135,152,287,250-300
Genetic diagnosis,0,0.185,0.195,0.462,0.169,0.181,0.237,0.14,0.155,0.326,82,185,267,250-300
Genetic diagnosis,1,0.296,0.247,0.519,0.213,0.253,0.34,0.273,0.227,0.364,135,115,250,200-250
Genetic diagnosis,1,0.136,0.203,0.203,0.189,0.198,0.34,0.208,0.167,0.208,97,148,245,200-250
Genetic diagnosis,1,0.34,0.164,0.491,0.216,0.234,0.432,0.538,0.436,0.846,121,127,248,200-250
Genetic diagnosis,0,0.113,0.075,0.151,0.291,0.235,0.509,0.122,0.082,0.122,71,127,198,100-200
Genetic diagnosis,0,0.225,0.207,0.282,0.163,0.196,0.286,0.218,0.194,0.364,150,167,317,300-400
Genetic diagnosis,0,0.2,0.12,0.12,0.294,0.247,0.353,0.118,0.118,0.176,126,123,249,200-250
Genetic diagnosis,1,0.246,0.175,0.526,0.148,0.233,0.296,0.227,0.197,0.409,82,159,241,200-250
Genetic diagnosis,1,0.169,0.178,0.225,0.075,0.13,0.075,0.222,0.198,0.296,123,164,287,250-300
Genetic diagnosis,0,0.209,0.119,0.209,0.286,0.259,0.381,0.174,0.087,0.174,121,142,263,250-300
